,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.018352651596069337,0.003370689304831825,0.0043793201446533205,0.0010203093540292812,1,rbf,"{'degree': 1, 'kernel': 'rbf'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8033707865168539,0.8651685393258427,0.8338773460548616,0.021319104679762276,1
16,0.016155338287353514,0.0009758030091285163,0.004375934600830078,0.0004748297398248745,5,rbf,"{'degree': 5, 'kernel': 'rbf'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8033707865168539,0.8651685393258427,0.8338773460548616,0.021319104679762276,1
12,0.01616501808166504,0.0009753123188927872,0.003972768783569336,0.0006119889038309255,4,rbf,"{'degree': 4, 'kernel': 'rbf'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8033707865168539,0.8651685393258427,0.8338773460548616,0.021319104679762276,1
8,0.016368341445922852,0.0005062898416744396,0.0041713714599609375,0.0003763534955764899,3,rbf,"{'degree': 3, 'kernel': 'rbf'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8033707865168539,0.8651685393258427,0.8338773460548616,0.021319104679762276,1
4,0.033510017395019534,0.004487238755315919,0.008975982666015625,0.0014106719412596636,2,rbf,"{'degree': 2, 'kernel': 'rbf'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.8033707865168539,0.8651685393258427,0.8338773460548616,0.021319104679762276,1
5,0.015358448028564453,0.0014922916400549949,0.003398227691650391,0.0004978768726767401,2,poly,"{'degree': 2, 'kernel': 'poly'}",0.8547486033519553,0.8258426966292135,0.8202247191011236,0.7808988764044944,0.8595505617977528,0.828253091456908,0.028263864737347544,6
9,0.014765548706054687,0.0003723212013356144,0.003178834915161133,0.0003740787658059267,3,poly,"{'degree': 3, 'kernel': 'poly'}",0.8491620111731844,0.8258426966292135,0.8258426966292135,0.7808988764044944,0.8539325842696629,0.8271357730211537,0.02586278779276753,7
18,0.01437382698059082,0.0014815496208042673,0.0031869888305664064,0.0003902675869687277,5,linear,"{'degree': 5, 'kernel': 'linear'}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.7752808988764045,0.8595505617977528,0.8215303496327913,0.027946630276886437,8
10,0.014772319793701172,0.0017103291785974673,0.0031796932220458985,0.00040569998139357516,3,linear,"{'degree': 3, 'kernel': 'linear'}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.7752808988764045,0.8595505617977528,0.8215303496327913,0.027946630276886437,8
2,0.03370208740234375,0.02876511083123021,0.008171844482421874,0.0094103244872077,1,linear,"{'degree': 1, 'kernel': 'linear'}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.7752808988764045,0.8595505617977528,0.8215303496327913,0.027946630276886437,8
14,0.014553117752075195,0.0013552525369745518,0.0028131484985351564,0.0007437546567287974,4,linear,"{'degree': 4, 'kernel': 'linear'}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.7752808988764045,0.8595505617977528,0.8215303496327913,0.027946630276886437,8
6,0.015955162048339844,0.0020624456720584466,0.0031865119934082033,0.00040275596605819387,2,linear,"{'degree': 2, 'kernel': 'linear'}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.7752808988764045,0.8595505617977528,0.8215303496327913,0.027946630276886437,8
13,0.01835794448852539,0.0016012203444885035,0.003582763671875,0.00048279820901340624,4,poly,"{'degree': 4, 'kernel': 'poly'}",0.8324022346368715,0.8202247191011236,0.8146067415730337,0.7921348314606742,0.8426966292134831,0.8204130311970372,0.017168021322524055,13
1,0.012753486633300781,0.0004067839078889687,0.0034076213836669923,0.0005007090468710122,1,poly,"{'degree': 1, 'kernel': 'poly'}",0.8435754189944135,0.8258426966292135,0.797752808988764,0.7808988764044944,0.8258426966292135,0.8147824995292197,0.022413381748735115,14
17,0.020553064346313477,0.0024610926378550173,0.003581380844116211,0.0004801104397045472,5,poly,"{'degree': 5, 'kernel': 'poly'}",0.776536312849162,0.7921348314606742,0.8146067415730337,0.7808988764044944,0.8370786516853933,0.8002510827945516,0.022650061857817042,15
7,0.014580249786376953,0.00048051046286188165,0.003982257843017578,1.3007607268222959e-05,2,sigmoid,"{'degree': 2, 'kernel': 'sigmoid'}",0.6983240223463687,0.6685393258426966,0.6910112359550562,0.651685393258427,0.6966292134831461,0.6812378381771389,0.018215107156325433,16
3,0.03849701881408692,0.02228840379837636,0.007179832458496094,0.002631472353184456,1,sigmoid,"{'degree': 1, 'kernel': 'sigmoid'}",0.6983240223463687,0.6685393258426966,0.6910112359550562,0.651685393258427,0.6966292134831461,0.6812378381771389,0.018215107156325433,16
11,0.01576380729675293,0.000978258658087598,0.0045758247375488285,0.0004787160002439701,3,sigmoid,"{'degree': 3, 'kernel': 'sigmoid'}",0.6983240223463687,0.6685393258426966,0.6910112359550562,0.651685393258427,0.6966292134831461,0.6812378381771389,0.018215107156325433,16
15,0.014772510528564453,0.0004394882034169469,0.003976154327392578,2.444896215220046e-05,4,sigmoid,"{'degree': 4, 'kernel': 'sigmoid'}",0.6983240223463687,0.6685393258426966,0.6910112359550562,0.651685393258427,0.6966292134831461,0.6812378381771389,0.018215107156325433,16
19,0.01455388069152832,0.0004576056078369791,0.004187679290771485,0.0003999023362630307,5,sigmoid,"{'degree': 5, 'kernel': 'sigmoid'}",0.6983240223463687,0.6685393258426966,0.6910112359550562,0.651685393258427,0.6966292134831461,0.6812378381771389,0.018215107156325433,16
